TIC#,HIP#,"Comp (from CCDM, WDS, or assigned)",HD#,HR#,GJ#,ID/Con,CommonID,DistPc,plx,eplx,Ref_plx,_RAJ2000,_DEJ2000,Vmag,eVmag,Ref,B-V,eB-V,Ref,Rcmag,refRcmag,SpT,Ref_SpT,Teff,eTeff,ref_Teff,log(L/Lsun),e_logL,ref(logL),R*[Rsun],Diam*[mas],Msun,met,e_met,metratio,ref_met,log(g),elog(g),ref_logg,logR'HK,RefR'HK,EEIDau,EEIDmas,Contrast,Rcmag(EarthTwin),P(day),K(cm/s),a(uas),WDS_J,Comp_WDS,"Sep""",Del(Mag),sy_disksflag,ref_disk,groupflag
tic_id,hip_name,hip_compname,hd_name,hr_name,gj_name,constellation,hostname,sy_dist,sy_plx,sy_plxerr,sy_plx_reflink,ra,dec,sy_vmag,sy_vmagerr,sy_vmag_reflink,sy_bvmag,sy_bvmagerr,sy_bvmag_reflink,sy_rcmag,sy_rcmag_reflink,st_spectype,st_spectype_reflink,st_teff,st_tefferr,st_teff_reflink,st_lum,st_lumerr,st_lum_reflink,st_rad,st_diam,st_mass,st_met,st_meterr,st_metratio,st_met_reflink,st_logg,st_loggerr,st_logg_reflink,st_log_rhk,st_log_rhk_reflink,st_eei_orbsep,st_eei_angsep,st_etwin_bratio,st_etwin_rcmag,st_eei_orbper,st_etwin_rvamp,st_etwin_astamp,wds_designation,wds_comp,wds_sep,wds_deltamag,sy_disks_flag,sy_disks_flag_reflink,target_group
TIC_238432056,HIP_544_,_,HD_166_,HR_8_,GJ_5_,V439_And,V439_Andromedae,13.7662,72.6419,0.0292,2022yCat.1355....0G,1.65326670,29.02150353,6.093,0.003,1998A&AS..129..431H,0.752,0.003,1997HIP...C......0E,5.630,2010PASP..122.1437P,G8V,2003AJ....126.2048G,5491,18,2022A&A...663A...4S,-0.1889,0.0104,2019AJ....158..138S,0.889,0.601,0.94,0.110,0.010,[Fe/H],2022A&A...663A...4S,4.550,0.030,2022A&A...663A...4S,-4.384,2010ApJ...725..875I,0.805,58.44,1.79E-10,30.00,271.9,10.35,0.187,00066+2901,A,10.20,12.6,Y,2008ApJ...674.1086T,B
TIC_289673491,HIP_910_,_,HD_693_,HR_33_,GJ_10_,6_Cet,6_Ceti,18.8861,52.9489,0.0958,2022yCat.1355....0G,2.81607516,-15.46797792,4.895,0.009,1997yCat.2168....0M,0.492,0.002,1997yCat.2168....0M,4.575,1980SAAOC...1..166C,F8V_Fe-0.8_CH-0.5,2006AJ....132..161G,6190,13,2022A&A...663A...4S,0.4767,0.0153,2019AJ....158..138S,1.505,0.741,1.18,-0.360,0.020,[Fe/H],2022A&A...663A...4S,4.090,0.030,2022A&A...663A...4S,-4.962,2009A&A...493.1099S,1.731,91.66,3.86E-11,30.61,765.9,6.30,0.233,_,_,_,_,N,_,A
TIC_70847587,HIP_950_,_,HD_739_,HR_35_,GJ_3013_,tet_Scl,Theta_Sculptoris,21.7191,46.0425,0.0961,2022yCat.1355....0G,2.93342115,-35.13311471,5.241,0.009,1998A&AS..129..431H,0.459,0.002,1997HIP...C......0E,4.951,estimated,F5V,2006AJ....132..161G,6495,85,2013ApJ...764...78R,0.4814,0.0177,2019AJ....158..138S,1.375,0.589,1.33,-0.110,0.040,[Fe/H],2013ApJ...764...78R,4.300,0.030,2013ApJ...764...78R,-4.715,2006AJ....132..161G,1.741,80.14,3.82E-11,31.00,727.3,5.92,0.181,_,_,_,_,N,_,C
TIC_425935521,HIP_1599_,_,HD_1581_,HR_77_,GJ_17_,zet_Tuc,Zeta_Tucanae,8.6071,116.1826,0.1334,2022yCat.1355....0G,5.01774431,-64.87479366,4.223,0.003,1998A&AS..129..431H,0.572,0.006,1997yCat.2168....0M,3.885,1980SAAOC...1..166C,F9.5V,2006AJ....132..161G,5932,12,2022A&A...663A...4S,0.1010,0.0134,2019AJ....158..138S,1.063,1.149,1.11,-0.210,0.010,[Fe/H],2022A&A...663A...4S,4.430,0.020,2022A&A...663A...4S,-4.839,1996AJ....111..439H,1.123,130.51,9.17E-11,28.98,412.8,8.06,0.353,_,_,_,_,Y,2008ApJ...674.1086T,B
TIC_267211065,HIP_2021_,_,HD_2151_,HR_98_,GJ_19_,bet_Hyi,Beta_Hydri,7.4588,134.0700,0.1100,2007A&A...474..653V,6.43779316,-77.25424612,2.820,0.010,1997HIP...C......0E,0.617,0.005,1997yCat.2168....0M,2.445,1980SAAOC...1..166C,G0V,2006AJ....132..161G,5806,18,2022A&A...663A...4S,0.5420,0.0120,2005ApJS..159..141V,1.844,2.300,1.08,-0.120,0.020,[Fe/H],2022A&A...663A...4S,4.000,0.030,2022A&A...663A...4S,-4.996,1996AJ....111..439H,1.866,250.23,3.32E-11,28.64,896.2,6.34,0.696,_,_,_,_,N,_,C
TIC_434210589,HIP_3093_,A,HD_3651_A,HR_166_A,GJ_27A,54_Psc_A,54_Piscium_A,11.1081,90.0248,0.0482,2022yCat.1355....0G,9.84085580,21.25047581,5.863,0.013,1998A&AS..129..431H,0.851,0.008,1997A&AS..124..349M,5.420,2010PASP..122.1437P,K0.5V,1989ApJS...71..245K,5203,23,2022A&A...663A...4S,-0.2741,0.0090,2019AJ....158..138S,0.898,0.752,0.86,0.140,0.020,[Fe/H],2022A&A...663A...4S,4.470,0.030,2022A&A...663A...4S,-4.991,1996ApJ...457L..99B,0.729,65.66,2.18E-10,29.58,245.3,11.36,0.229,00394+2115,A,42.90,12.32,N,_,B
TIC_80431620,HIP_3583_,A,HD_4391_,HR_209_,GJ_1021_,_,HR_209,15.0487,66.4509,0.0446,2022yCat.1355....0G,11.43997054,-47.55198407,5.795,0.000,1998A&AS..129..431H,0.635,0.003,1997HIP...C......0E,5.420,2010PASP..122.1437P,G5V_Fe-0.8_CH-1,2006AJ....132..161G,5887,33,2022A&A...663A...4S,-0.0346,0.0118,2019AJ....158..138S,0.924,0.571,0.98,-0.040,0.030,[Fe/H],2022A&A...663A...4S,4.650,0.090,2022A&A...663A...4S,-4.550,1996AJ....111..439H,0.961,63.85,1.25E-10,30.17,347.5,9.27,0.196,00458-4733,A,16.40,7.64,N,_,B
TIC_257393898,HIP_3765_,_,HD_4628_,HR_222_,GJ_33_,_,HR_222,7.4352,134.4948,0.0578,2022yCat.1355....0G,12.09573323,5.28061375,5.729,0.001,1998A&AS..129..431H,0.890,0.008,1997HIP...C......0E,5.210,1980SAAOC...1..166C,K2V,2003AJ....126.2048G,5007,20,2022A&A...663A...4S,-0.5226,0.0113,2019AJ....158..138S,0.728,0.911,0.78,-0.260,0.010,[Fe/H],2022A&A...663A...4S,4.620,0.030,2022A&A...663A...4S,-4.852,1996ApJ...457L..99B,0.548,73.69,3.85E-10,28.75,167.7,13.77,0.284,00484+0517,A,_,_,N,_,A
TIC_445258206,HIP_3821_,A,HD_4614_A,HR_219_A,GJ_34A_,eta_Cas_A,Achird,5.0098,199.6080,0.1208,2022yCat.1355....0G,12.27622748,57.81517729,3.444,0.007,1997A&AS..124..349M,0.587,0.003,1997HIP...C......0E,3.097,estimated,F9V,1989ApJS...71..245K,5907,12,2022A&A...663A...4S,0.0976,0.0066,2012ApJ...757..112B,1.068,1.983,1.14,-0.280,0.010,[Fe/H],2022A&A...663A...4S,4.410,0.020,2022A&A...663A...4S,-4.949,2010ApJ...725..875I,1.119,223.35,9.24E-11,28.18,404.9,7.97,0.588,00491+5749,A,13.60,3.84,N,_,A
