#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#TIC#, RA, DEC, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, Exposure Length, Waveband, Filters, Target Classification, Release Date, Instrument, Project, Distance (")
#@string, ra, dec, int, string, string, string, ra, dec, float, float, string, string, string, float, string, string, float
TIC#,RA,DEC,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_exptime,wavelength_region,filters,target_classification,t_obs_release,instrument_name,project,distance
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp16862,HD 33262,76.3779942465,-57.4733210496,45089.51337,1859.864,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp16717,HD 33262,76.3774951703,-57.4733186916,45067.55881,1499.825,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp17006,HD 33262,76.3779942465,-57.4733210496,45110.43361,1859.864,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp16923,HD 33262,76.3779942465,-57.4733210496,45097.42542,1019.774,UV,LOW DISP,,NaN,SWP,,0
TIC_30293512,198.0132679,-37.8030222,2,IUE,swp13987,HD 114613,198.0157392152,-37.8033803536,44742.23433,2099.48,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp16734,HD 33262,76.3774951703,-57.4733186916,45069.33122,1859.864,UV,LOW DISP,,NaN,SWP,,0
TIC_301880196,326.13054144,14.7719398,2,IUE,lwr12129,HR 8314,326.1274161738,14.7739385699,44950.5336,34.69,UV,LOW DISP,,NaN,LWR,,2.44234279151059
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp15242,HD 33262,76.3787927684,-57.4733248223,44890.01572,1259.8,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr11761,HD 33262,76.37877961599,-57.4732868219899,44889.5016435,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp20013,HD 33262,76.3779942465,-57.4733210496,45472.21701,1859.864,UV,LOW DISP,,NaN,SWP,,0
TIC_301880196,326.13054144,14.7719398,2,IUE,lwr10292,HD 206860,326.1275162786,14.773938843,44700.3233,44.52,UV,LOW DISP,,NaN,LWR,,2.16100439269938
TIC_301880196,326.13054144,14.7719398,2,IUE,lwp03381,HD 206860,326.1300212329,14.7731456727,45839.17987,395.551,UV,LOW DISP,,NaN,LWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp16765,HD 33262,76.3779942465,-57.4733210496,45074.38388,1859.864,UV,LOW DISP,,NaN,SWP,,0
TIC_301880196,326.13054144,14.7719398,2,IUE,swp15245,HD 206860,326.1275162786,14.773938843,44890.76582,6599.755,UV,LOW DISP,,NaN,SWP,,2.16100439269938
TIC_301880196,326.13054144,14.7719398,2,IUE,swp13648,HD 206860,326.1275162786,14.773938843,44698.12576,6599.755,UV,LOW DISP,,NaN,SWP,,2.16100439269938
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp14226,HD 33262,76.3787927684,-57.4733248223,44765.12712,1859.864,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr11564,HD 33262,76.37877961599,-57.4732868219899,44863.5325116,899.765,UV,HIGH DISP,,NaN,LWR,,0
