TIC#,RA,DEC
TIC_238432056,1.6532667,29.02150353
TIC_289673491,2.81607516,-15.46797792
TIC_70847587,2.93342115,-35.13311471
TIC_425935521,5.01774431,-64.87479366
TIC_267211065,6.43779316,-77.25424612
TIC_434210589,9.8408558,21.25047581
TIC_80431620,11.43997054,-47.55198407
TIC_257393898,12.09573323,5.28061375
TIC_445258206,12.27622748,57.81517729
TIC_3962869,12.53162068,-10.64432885
TIC_285544488,13.267486,61.12397
TIC_229092427,18.79633928,-45.53166461
TIC_52194638,18.94203793,-68.87594481
TIC_189576919,24.19933977,41.40545871
TIC_231005052,24.9481863,-56.19644811
TIC_231005905,24.94921957,-56.19331786
TIC_229137615,25.62214382,-53.74083096
TIC_113710966,25.62401052,20.26851268
TIC_419015728,26.01701307,-15.93747989
TIC_373694425,26.93681015,63.85250306
TIC_72748794,34.74376992,-25.94568716
TIC_166853853,40.63944445,-50.80029309
TIC_302158903,41.04994423,49.22844852
TIC_326242565,41.27582834,-18.57262283
TIC_30016911,43.13386744,-12.76971335
TIC_116988032,47.26674709,49.61327835
TIC_88523071,48.01887418,-28.98762199
TIC_279649057,49.44234773,-62.57532013
TIC_279649049,49.55341201,-62.50636242
TIC_343813545,49.84040134,3.37019865
TIC_301051051,49.9818788,-43.069782
TIC_262843771,52.34448925,-62.93752894
TIC_118572803,53.23268538,-9.45826097
TIC_311092847,54.21826544,0.40166447
TIC_38511251,55.81208557,-9.76339193
TIC_121078878,56.71203049,-23.2497228
TIC_9150015,60.65310113,-0.2689222
TIC_353257675,62.15257149,38.03973856
TIC_67772871,63.81799841,-7.65286966
TIC_117979951,71.90121543,-16.93445569
TIC_399665349,72.46004544,6.96127453
TIC_213041474,75.20416394,-5.75367342
TIC_381949122,76.37773198,-57.47270469
TIC_27136704,76.8625232,18.64504994
TIC_409104974,79.78531437,40.09905141
TIC_142103211,80.63971084,79.23115073
TIC_47346402,81.10609696,17.38353512
TIC_261136679,84.29119519,-80.46912071
TIC_311063391,85.334732,53.48105801
TIC_93279196,86.11056968,-22.42183736
TIC_93280676,86.11579424,-22.44838549
TIC_176521059,87.1455844,-4.09464494
TIC_141810080,92.56030243,-74.75304398
TIC_46125330,93.71198477,19.1564479
TIC_437886584,94.11091294,12.27216323
TIC_141523112,101.55895815,79.56481071
TIC_307754027,101.68473723,43.57742456
TIC_282210766,103.0752106,-5.17371267
TIC_80226651,103.82777649,25.37569543
TIC_130645536,105.98881342,-43.60803496
TIC_156890613,108.95891324,47.23996345
TIC_328324648,112.48315488,49.6724594
TIC_150796339,118.06526236,-34.70543992
TIC_372914091,119.44547625,-60.30307193
TIC_307624961,124.59977903,-12.63217144
TIC_302188141,125.0160865,27.21770505
TIC_393844873,128.21456533,-31.50085138
TIC_417762326,129.79876921,65.02090642
TIC_181273463,130.82512655,-38.88238079
TIC_332064670,133.14921294,28.33082083
TIC_62569281,133.57477957,-5.43445953
TIC_355127594,137.21279326,33.88221843
TIC_219709102,137.59811111,67.13401716
TIC_8915802,143.91459247,35.81013251
TIC_11310083,145.56006751,-23.91556723
TIC_23969522,147.14738062,46.02100739
TIC_172954294,150.25273698,31.92367028
TIC_371520835,152.84224979,49.45423639
TIC_95431211,154.93403005,19.47091277
TIC_453620177,156.09877488,-74.03161211
TIC_416519065,157.65658027,55.9805388
TIC_367631379,157.76961635,82.55865174
TIC_447823435,157.8409203,-53.71548361
TIC_21535479,164.86655313,40.43025571
TIC_166646191,165.83414508,35.96988227
TIC_57611256,173.62286018,-32.83133966
TIC_101641846,175.26256779,34.20163378
TIC_454082369,176.62946889,-40.50035719
